KY_CD,PD_CD,CRM_ATPT_CPTD_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURISDICTION_CODE,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,BORO_NM
361,639.0,2,3,3,8,0.0,2,2,1,2,2,1,2
578,637.0,2,2,3,2,2.0,3,7,1,3,3,1,4
341,338.0,2,3,1,31,0.0,6,7,3,3,3,2,4
578,637.0,2,2,1,2,2.0,4,3,1,3,3,1,3
578,637.0,2,2,1,19,0.0,1,3,2,1,3,1,2
341,349.0,2,3,3,8,0.0,6,7,3,3,2,2,2
126,198.0,2,1,1,6,0.0,3,3,1,3,3,1,4
578,638.0,2,2,1,6,0.0,3,2,1,3,2,1,2
578,638.0,2,2,1,6,0.0,1,2,1,4,2,2,4
235,511.0,2,3,4,8,0.0,2,5,1,6,7,3,1
351,259.0,2,3,3,8,0.0,3,5,1,2,2,1,5
344,113.0,2,3,3,8,0.0,3,3,1,3,7,2,3
578,638.0,2,2,1,1,0.0,2,1,2,2,1,1,1
341,333.0,2,3,1,16,0.0,3,1,1,6,7,4,2
361,639.0,2,3,1,1,0.0,3,5,1,3,1,1,3
578,637.0,2,2,1,6,0.0,4,2,2,3,2,1,4
233,681.0,2,3,1,19,0.0,4,1,1,1,1,2,3
344,113.0,2,3,2,2,2.0,1,3,1,2,3,1,4
126,748.0,2,3,1,6,0.0,3,7,1,3,3,1,1
351,258.0,2,3,4,17,0.0,6,7,3,6,7,4,1
344,101.0,2,3,1,2,2.0,2,1,1,1,1,2,4
341,343.0,2,3,1,6,0.0,6,7,3,2,2,2,2
107,221.0,2,1,1,2,2.0,3,3,1,3,1,1,4
578,638.0,2,2,3,8,0.0,3,1,1,4,1,1,1
118,792.0,2,1,1,2,2.0,3,3,2,6,7,3,2
104,157.0,2,1,1,1,0.0,3,1,1,3,7,1,1
106,105.0,2,1,1,6,0.0,3,1,1,3,1,1,2
235,511.0,2,3,3,8,0.0,3,1,2,6,7,3,3
578,637.0,2,2,1,2,2.0,4,3,1,3,3,1,2
106,109.0,2,1,3,8,0.0,3,7,1,5,4,2,3
578,637.0,2,2,3,8,0.0,3,3,2,4,3,1,2
578,637.0,2,2,1,6,0.0,4,3,2,3,3,2,1
109,410.0,2,1,1,23,0.0,6,1,2,2,3,1,3
344,101.0,2,3,1,1,0.0,3,3,1,2,3,1,1
578,638.0,2,2,1,1,0.0,3,3,1,3,3,2,2
341,333.0,2,3,1,35,0.0,5,5,1,6,7,4,3
344,101.0,2,3,3,8,0.0,6,7,3,4,1,2,1
578,638.0,2,2,1,19,0.0,1,3,1,4,3,2,2
109,417.0,2,1,1,2,2.0,2,5,1,1,3,1,2
344,101.0,2,3,1,6,0.0,3,7,1,3,2,1,4
344,101.0,2,3,1,1,0.0,3,2,1,3,2,1,3
351,254.0,2,3,2,8,0.0,6,7,3,4,7,1,2
344,101.0,2,3,1,2,2.0,6,3,1,2,3,1,1
106,109.0,2,1,1,2,2.0,2,3,1,2,1,1,1
578,638.0,2,2,1,1,0.0,3,2,1,3,2,2,3
344,101.0,2,3,1,1,0.0,2,1,1,4,1,1,3
351,259.0,2,3,3,8,0.0,6,7,3,3,3,1,4
578,638.0,2,2,1,19,0.0,2,4,1,1,7,2,4
578,638.0,2,2,1,2,2.0,3,3,2,3,3,2,1
578,638.0,2,2,1,1,0.0,6,3,2,3,3,2,2
344,101.0,2,3,1,6,0.0,3,1,1,3,1,1,2
361,639.0,2,3,1,1,0.0,3,1,3,3,3,1,3
578,638.0,2,2,1,1,0.0,6,7,1,5,2,1,3
104,157.0,2,1,1,6,0.0,3,3,1,4,3,1,2
361,639.0,2,3,1,6,0.0,3,3,1,2,3,1,4
352,203.0,2,3,1,1,0.0,2,3,1,6,7,4,3
344,101.0,2,3,1,6,0.0,4,2,1,3,2,1,5
106,109.0,2,1,1,1,0.0,3,3,1,2,3,1,4
678,477.0,2,2,3,2,2.0,3,3,1,4,4,2,2
112,772.0,2,1,1,1,0.0,3,1,1,3,1,1,3
344,113.0,2,3,1,1,0.0,2,3,1,4,3,2,1
104,157.0,2,1,1,2,2.0,2,3,1,1,3,1,2
106,109.0,2,1,1,1,0.0,3,1,1,3,1,1,3
359,749.0,2,3,1,6,0.0,3,5,1,3,1,1,4
107,223.0,2,1,1,1,0.0,6,7,1,4,1,2,2
126,117.0,2,1,1,6,0.0,6,7,3,4,1,1,5
351,259.0,2,3,1,2,2.0,6,7,3,2,1,1,1
578,638.0,2,2,1,7,97.0,6,1,2,4,3,2,2
126,198.0,2,1,3,6,0.0,3,3,1,3,3,1,2
351,254.0,2,3,1,20,0.0,6,7,3,6,7,4,4
341,338.0,2,3,1,25,0.0,6,3,2,6,7,4,4
110,451.0,2,1,3,2,2.0,6,7,3,3,1,2,1
344,101.0,2,3,1,1,0.0,3,5,1,3,1,1,1
578,637.0,2,2,1,7,0.0,4,3,2,4,3,1,2
344,114.0,2,3,1,1,0.0,2,3,1,1,3,1,1
341,338.0,2,3,1,1,0.0,3,3,1,3,2,2,2
107,221.0,2,1,1,6,0.0,2,7,1,2,1,1,4
344,101.0,2,3,1,1,0.0,3,1,1,3,1,1,1
344,101.0,2,3,3,1,0.0,4,2,1,4,1,2,2
351,258.0,2,3,3,7,0.0,6,7,3,6,7,3,3
344,101.0,2,3,1,1,0.0,4,3,1,6,3,1,2
361,639.0,2,3,1,1,0.0,6,7,3,4,1,1,4
361,639.0,2,3,1,1,0.0,3,1,2,3,1,1,1
578,638.0,2,2,1,6,0.0,2,2,1,4,2,1,5
344,101.0,2,3,1,1,0.0,6,1,1,1,1,1,2
105,398.0,2,1,1,19,0.0,1,7,1,1,7,2,3
361,639.0,2,3,1,6,0.0,2,1,2,2,2,1,4
109,405.0,2,1,1,1,0.0,6,7,3,3,5,1,1
341,333.0,2,3,1,35,0.0,3,3,2,6,7,4,2
344,113.0,2,3,1,12,0.0,6,3,1,6,7,4,1
578,638.0,2,2,1,6,0.0,3,3,1,4,3,1,4
578,638.0,2,2,1,2,2.0,3,3,1,3,1,2,1
578,637.0,2,2,1,1,0.0,4,3,1,4,3,1,4
578,637.0,2,2,3,8,0.0,3,3,1,3,3,1,2
578,638.0,2,2,1,1,0.0,3,7,1,3,2,1,4
344,113.0,2,3,1,1,0.0,3,1,1,3,1,1,4
359,749.0,2,3,1,17,0.0,3,2,1,3,3,1,5
359,749.0,2,3,3,8,0.0,3,4,1,2,1,1,3
106,109.0,2,1,1,1,0.0,3,3,1,3,3,1,2
359,748.0,2,3,3,6,0.0,3,3,1,3,3,1,2
121,267.0,2,1,3,8,0.0,4,3,2,3,3,2,2
341,333.0,2,3,3,9,0.0,3,7,1,6,7,4,1
578,638.0,2,2,2,8,0.0,3,3,2,1,1,1,1
344,101.0,2,3,1,26,0.0,3,2,2,3,3,2,3
578,637.0,2,2,3,7,0.0,3,3,1,3,3,1,4
341,339.0,2,3,3,6,0.0,6,3,2,3,3,1,4
578,638.0,2,2,1,22,0.0,6,7,3,4,3,2,2
361,639.0,2,3,1,1,0.0,2,1,2,3,4,2,4
341,333.0,2,3,1,12,0.0,6,7,3,6,7,4,1
578,637.0,2,2,1,3,0.0,3,3,1,3,2,2,1
344,114.0,2,3,1,6,0.0,6,3,1,3,3,1,4
578,637.0,2,2,1,1,0.0,3,3,1,2,3,2,4
578,637.0,2,2,3,1,0.0,1,2,1,5,2,2,3
578,638.0,2,2,1,2,2.0,6,3,2,3,3,1,1
341,333.0,2,3,1,9,0.0,4,3,1,6,7,4,3
344,101.0,2,3,1,1,0.0,3,2,1,2,2,1,2
109,421.0,2,1,3,8,0.0,6,3,1,3,2,2,3
344,101.0,2,3,3,17,0.0,6,5,1,1,4,2,3
341,333.0,2,3,1,9,0.0,2,3,2,6,7,4,4
109,425.0,2,1,1,1,0.0,6,7,3,3,7,2,3
351,259.0,2,3,3,8,0.0,3,3,1,3,3,1,2
344,101.0,2,3,3,8,0.0,6,3,1,4,3,2,2
344,101.0,2,3,1,1,0.0,1,4,2,3,4,1,2
344,101.0,2,3,1,6,0.0,4,1,2,4,1,2,1
